,profile_type,weight,run,accuracy,average
38,Global,1.0,8,98.61415025528811,97.80452224653537
39,Global,1.0,9,98.7600291757841,97.80452224653537
40,Global,1.25,0,94.9671772428884,97.80452224653537
41,Global,1.25,1,97.4471188913202,97.80452224653537
42,Global,1.25,2,99.05178701677607,97.80452224653537
43,Global,1.25,3,97.08242159008023,97.80452224653537
44,Global,1.25,4,96.06126914660832,97.80452224653537
45,Global,1.25,5,99.12472647702407,97.80452224653537
46,Global,1.25,6,97.73887673231218,97.80452224653537
47,Global,1.25,7,96.35302698760029,97.80452224653537
48,Global,1.25,8,98.10357403355215,97.80452224653537
49,Global,1.25,9,96.64478482859226,97.80452224653537
50,Global,1.5,0,95.69657184536834,97.80452224653537
51,Global,1.5,1,98.10357403355215,97.80452224653537
52,Global,1.5,2,98.90590809628009,97.80452224653537
53,Global,1.5,3,99.48942377826404,97.80452224653537
54,Global,1.5,4,97.95769511305616,97.80452224653537
55,Global,1.5,5,98.83296863603209,97.80452224653537
56,Global,1.5,6,94.89423778264042,97.80452224653537
57,Global,1.5,7,98.17651349380014,97.80452224653537
58,Global,1.5,8,98.39533187454413,97.80452224653537
59,Global,1.5,9,97.59299781181619,97.80452224653537
